pitcher_name,game_year,team,pitcher,player_name.x,role,appearences,threat,pressure,momentum,danger,hero_save,hero_hold,hero_losing,hero_total,threat_plus,pressure_plus,momentum_plus,danger_plus,hero_save_plus,hero_hold_plus,hero_losing_plus,hero_plus,player_name.y,avg_danger_final,total_appearances.x,player_name,avg_net_danger,total_appearances.y
A.J. Minter,2023,ATL,621345,"Minter, A.J.",RP,70,0.447357582,-0.116404725,0.005845017,-0.042359874,3.407429682,-0.07511735,0.401268039,3.733580371,97.25256124,106.5848898,100.1091386,103.0668066,116.2707052,90.04952187,97.80518327,107.2683423,"Minter, A.J.",-0.00604108,70,"Minter, A.J.",0.036318794,70
A.J. Minter,2024,ATL,621345,"Minter, A.J.",RP,39,0.48139036,-0.112067063,0.005832706,-0.046087143,-0.200998315,1.163725008,0.362332537,1.32505923,108.2682459,104.8849024,100.9735335,106.9395904,89.40757858,103.9253817,96.73529602,93.63564748,"Minter, A.J.",-0.000622367,39,"Minter, A.J.",0.045464776,39
A.J. Puk,2023,MIA,640462,"Puk, A.J.",RP,58,0.484275441,-0.134197525,0.005744982,-0.053411181,0.679438748,1.238247824,0.316312072,2.233998644,105.4727061,112.6733132,99.32163357,112.9089236,96.21607888,107.1342261,95.55607575,99.28592947,"Puk, A.J.",-0.0074091,58,"Puk, A.J.",0.046002081,58
A.J. Puk,2024,ARI,640462,"Puk, A.J.",RP,62,0.466380412,-0.117867126,0.005642383,-0.046268116,3.626461865,0.005679662,0.916489421,4.548630948,104.3728322,106.8998744,99.27000686,107.0995258,116.2149516,90.53066894,111.3967213,109.4612973,"Puk, A.J.",-0.015041424,62,"Puk, A.J.",0.031226691,62
Aaron Bummer,2023,CHW,607481,"Bummer, Aaron",RP,61,0.5151749,-0.117639897,0.005572113,-0.053680457,2.414915287,0.329105006,0.886503615,3.630523909,112.3527916,107.0075468,97.96075227,113.1487362,108.9743081,95.30778479,110.6512141,106.7197631,"Bummer, Aaron",-0.019272356,61,"Bummer, Aaron",0.034408101,61
Aaron Bummer,2024,ATL,607481,"Bummer, Aaron",RP,56,0.393564085,-0.069598764,0.006247744,-0.024851389,-0.355774495,1.028629274,0.725570292,1.39842507,85.47538466,90.13119367,104.6884137,88.17235036,88.32353261,102.3627758,106.3455406,93.99582626,"Bummer, Aaron",-0.014261759,56,"Bummer, Aaron",0.01058963,56
Aaron Loup,2023,LAA,571901,"Loup, Aaron",RP,55,0.442513233,-0.096248654,0.005903228,-0.036005818,1.840332142,0.173655491,0.248071036,2.262058669,96.17391666,99.68779158,100.5673929,97.40798678,104.750302,93.28564423,93.74947606,99.43529559,"Loup, Aaron",-0.012534532,55,"Loup, Aaron",0.023471287,55
Abner Uribe,2023,MIL,682842,"Uribe, Abner",RP,32,0.475783857,-0.113227787,0.006242131,-0.04697648,1.556583866,0.733315595,0.503797809,2.793697269,103.5819668,105.4977906,103.2353488,107.1782816,102.6643472,100.5658946,100.5195361,102.2652572,"Uribe, Abner",-0.001625049,32,"Uribe, Abner",0.04535143,32
Adam Cimber,2023,TOR,643256,"Cimber, Adam",RP,22,0.521360559,-0.072382932,0.007209413,-0.043118909,-0.488838818,0.295837011,0.023856865,-0.169144943,113.7300929,91.52130779,110.8501028,103.7427909,87.62757158,94.87502331,87.81367435,86.49377301,"Cimber, Adam",-0.012310402,22,"Cimber, Adam",0.030808507,22
Adam Cimber,2024,LAA,643256,"Cimber, Adam",RP,28,0.482015527,-0.098683536,0.005663731,-0.040328092,1.466647758,0.318755416,0.351913922,2.137317096,108.4304905,100.2353954,99.46108809,101.84999,101.0877028,94.15190867,96.4596489,97.62330766,"Cimber, Adam",-0.010789939,28,"Cimber, Adam",0.029538152,28
Adam Ottavino,2023,NYM,493603,"Ottavino, Adam",RP,66,0.470439818,-0.122625324,0.00607618,-0.050137324,2.498999002,-0.593598452,0.442729235,2.348129785,102.3920608,108.7134835,101.9289293,109.9932785,109.5924433,83.30494205,98.90281878,99.89346014,"Ottavino, Adam",-0.004444817,66,"Ottavino, Adam",0.045692507,66
Adam Ottavino,2024,NYM,493603,"Ottavino, Adam",RP,60,0.414948095,-0.093453872,0.006144239,-0.033359318,2.240842135,-0.111831821,0.096190217,2.225200531,91.02500837,98.41858281,103.761972,95.69128938,106.5101282,89.17145398,89.69392225,98.05475842,"Ottavino, Adam",-0.007195801,60,"Ottavino, Adam",0.026163517,60
